dim,mean,std,p1,p5,p25,p50,p75,p95,p99
0,0.004560265690088272,0.06429653614759445,-0.17459766566753387,-0.13818882405757904,-0.022473394870758057,6.0526606830535457e-05,0.05658639967441559,0.09067591279745102,0.12043122202157974
1,0.03517372906208038,0.11008109897375107,-0.13666324317455292,-0.10448519885540009,-0.020708318799734116,0.005408654920756817,0.04455401375889778,0.3168787360191345,0.37736397981643677
2,0.003928393591195345,0.06313900649547577,-0.17132683098316193,-0.1361456960439682,-0.02209184691309929,5.48954340047203e-05,0.051745250821113586,0.09097904711961746,0.11919408291578293
3,-1.5494041442871094,0.101188063621521,-1.7083407640457153,-1.6792306900024414,-1.601006269454956,-1.5742069482803345,-1.5425068140029907,-1.2892842292785645,-1.2324955463409424
4,0.00024360220413655043,0.02383982576429844,-0.06550624221563339,-0.05212453007698059,-0.010775183327496052,-8.939304098021239e-05,0.018305432051420212,0.03390273451805115,0.041488759219646454
5,1.607860803604126,0.1415868103504181,1.3807440996170044,1.424041509628296,1.5357500314712524,1.5703907012939453,1.6205205917358398,1.9666411876678467,2.0426454544067383
6,-0.7852945923805237,2.4638397007947788e-05,-0.7853555679321289,-0.7853391766548157,-0.7853106260299683,-0.7852951884269714,-0.7852768301963806,-0.7852545380592346,-0.7852444052696228
7,0.039998024702072144,1.5144341887207702e-05,0.03995535150170326,0.03997345268726349,0.039989300072193146,0.03999943286180496,0.040007054805755615,0.04002209007740021,0.040028154850006104
8,0.039998721331357956,1.3149672668077983e-05,0.039969947189092636,0.039976175874471664,0.03998998552560806,0.03999962657690048,0.040006883442401886,0.04001881927251816,0.04003512114286423
9,0.5698698163032532,0.056966934353113174,0.48596978187561035,0.5007801055908203,0.5417022109031677,0.5548813343048096,0.5658576488494873,0.7190122008323669,0.7190122008323669
10,0.09519622474908829,0.014426994137465954,0.0616854727268219,0.0616854727268219,0.09151893854141235,0.10151893645524979,0.10203245282173157,0.10645568370819092,0.10660973191261292
11,0.3249428868293762,1.049993898050161e-06,0.3249421715736389,0.3249429166316986,0.3249429166316986,0.3249429166316986,0.3249429166316986,0.3249429166316986,0.3249431848526001
12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
